000000000000,ITSJ
000000000001,ITSJ
000000000010,ITSJ
000000000011,ITSJ
000000000100,ITSJ
000000000101,ITSP
000000000110,ITSJ
000000000111,ITSP
000000001000,ITSJ
000000001001,ITSP
000000001010,ITSJ
000000001011,ITSP
000000001100,ITSP
000000001101,ITSP
000000001110,ITSP
000000001111,ITSP
000000010000,ITSJ
000000010001,ITSJ
000000010010,ITSJ
000000010011,ITSJ
000000010100,ITSJ
000000010101,ITSP
000000010110,ITSJ
000000010111,ITSP
000000011000,ITSJ
000000011001,ITSP
000000011010,ITSJ
000000011011,ITSP
000000011100,ITSP
000000011101,ITSP
000000011110,ITSP
000000011111,ITSP
000000100000,ITSJ
000000100001,ITSJ
000000100010,ITSJ
000000100011,ITSJ
000000100100,ITSJ
000000100101,ITSP
000000100110,ITSJ
000000100111,ITSP
000000101000,ITSJ
000000101001,ITSP
000000101010,ITSJ
000000101011,ITSP
000000101100,ITSP
000000101101,ITSP
000000101110,ITSP
000000101111,ITSP
000000110000,ITSJ
000000110001,ITSJ
000000110010,ITSJ
000000110011,ITSJ
000000110100,ITSJ
000000110101,ITSP
000000110110,ITSJ
000000110111,ITSP
000000111000,ITSJ
000000111001,ITSP
000000111010,ITSJ
000000111011,ITSP
000000111100,ITSP
000000111101,ITSP
000000111110,ITSP
000000111111,ITSP
000001000000,ITSJ
000001000001,ITSJ
000001000010,ITNJ
000001000011,ITNJ
000001000100,ITSJ
000001000101,ITSP
000001000110,ITNJ
000001000111,ITNP
000001001000,ITSJ
000001001001,ITSP
000001001010,ITNJ
000001001011,ITNP
000001001100,ITSP
000001001101,ITSP
000001001110,ITNP
000001001111,ITNP
000001010000,ITSJ
000001010001,ITSJ
000001010010,ITNJ
000001010011,ITNJ
000001010100,ITSJ
000001010101,ITSP
000001010110,ITNJ
000001010111,ITNP
000001011000,ITSJ
000001011001,ITSP
000001011010,ITNJ
000001011011,ITNP
000001011100,ITSP
000001011101,ITSP
000001011110,ITNP
000001011111,ITNP
000001100000,ITSJ
000001100001,ITSJ
000001100010,ITNJ
000001100011,ITNJ
000001100100,ITSJ
000001100101,ITSP
000001100110,ITNJ
000001100111,ITNP
000001101000,ITSJ
000001101001,ITSP
000001101010,ITNJ
000001101011,ITNP
000001101100,ITSP
000001101101,ITSP
000001101110,ITNP
000001101111,ITNP
000001110000,ITSJ
000001110001,ITSJ
000001110010,ITNJ
000001110011,ITNJ
000001110100,ITSJ
000001110101,ITSP
000001110110,ITNJ
000001110111,ITNP
000001111000,ITSJ
000001111001,ITSP
000001111010,ITNJ
000001111011,ITNP
000001111100,ITSP
000001111101,ITSP
000001111110,ITNP
000001111111,ITNP
000010000000,ITSJ
000010000001,ITSJ
000010000010,ITNJ
000010000011,ITNJ
000010000100,ITSJ
000010000101,ITSP
000010000110,ITNJ
000010000111,ITNP
000010001000,ITSJ
000010001001,ITSP
000010001010,ITNJ
000010001011,ITNP
000010001100,ITSP
000010001101,ITSP
000010001110,ITNP
000010001111,ITNP
000010010000,ITSJ
000010010001,ITSJ
000010010010,ITNJ
